,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C,VeggieWeight,NutriScore,NutriLetter
Low-Carb Jicama Tostadas,18.0,57,0.0,7.4,18.0,1.0,18.0,0.0,3.0,225.0,1.1,0.0,263162/low-carb-jicama-tostadas/,mexican,0.0,6.0,3.0,0.0,Low-Carb Jicama Tostadas,13.2,0.1,32IU,0.0,30.0,0.0,-2,A
Best Fish Tacos ,80.0,322,35.0,3.8,88.0,3.0,48.0,6.0,3.0,591.0,21.2,5.0,263122/best-fish-tacos/,mexican,3.0,833.0,2.0,0.0,Best Fish Tacos ,34.6,9.0,1043IU,0.0,18.0,145.0,-1,A
Crispy Pork Carnitas,35.0,317,89.0,0.4,5.0,2.0,23.0,10.0,267.0,371.0,25.5,4.59999990463257,239786/crispy-pork-carnitas/,mexican,6.0,1036.0,0.0,1.0,Crispy Pork Carnitas,2.1,22.6,17IU,0.0,2.0,16.0,2,B
Jeannie's Vegetarian Enchiladas ,376.0,626,59.0,9.6,193.0,6.0,77.0,8.0,1.0,818.0,20.6,4.0,258250/jeannies-vegetarian-enchiladas/,mexican,15.0,1138.0,5.0,1.0,Jeannie's Vegetarian Enchiladas ,67.2,31.2,2569IU,0.0,49.0,172.0,2,B
Mexican Corn Bread Casserole,168.0,304,101.0,1.9,58.0,2.0,28.0,6.0,21.0,372.0,18.2,4.5,262261/mexican-corn-bread-casserole/,mexican,8.0,708.0,4.0,0.0,Mexican Corn Bread Casserole,21.5,16.3,840IU,0.0,12.0,58.0,2,B
Cochinita Pibil (Mexican Pulled Pork in Annatto Sauce),56.0,422,122.0,0.9,28.0,2.0,49.0,16.0,3.0,811.0,37.6,4.66666650772095,259999/cochinita-pibil-mexican-pulled-pork-in-annatto-sauce/,mexican,9.0,1334.0,5.0,2.0,Cochinita Pibil (Mexican Pulled Pork in Annatto Sauce),8.3,25.6,158IU,1.0,31.0,25.0,2,B
Authentic Mexican Chili Rellenos,312.0,263,102.0,1.1,50.0,2.0,26.0,3.0,517.0,217.0,13.1,4.58823537826538,219646/authentic-mexican-chili-rellenos/,mexican,8.0,357.0,3.0,0.0,Authentic Mexican Chili Rellenos,17.3,16.0,594IU,0.0,65.0,160.0,0,B
Pollo Adobado,51.0,350,129.0,1.9,32.0,2.0,61.0,29.0,5.0,706.0,47.6,4.5,240321/pollo-adobado/,mexican,3.0,937.0,6.0,0.0,Pollo Adobado,9.5,12.7,3887IU,1.0,71.0,285.0,-8,A
Salsa Chicken,242.0,287,101.0,1.0,13.0,1.0,51.0,20.0,6000.0,531.0,35.5,4.62353706359863,16700/salsa-chicken/,mexican,7.0,863.0,3.0,0.0,Salsa Chicken,6.8,12.4,543IU,1.0,3.0,0.0,-1,A
Chicken Enchiladas II,340.0,619,60.0,4.1,137.0,5.0,48.0,13.0,6000.0,397.0,26.1,4.5619797706604,8694/chicken-enchiladas-ii/,mexican,11.0,1459.0,4.0,1.0,Chicken Enchiladas II,66.8,27.1,652IU,0.0,14.0,60.0,3,C
Burrito Pie,159.0,432,68.0,4.7,62.0,3.0,45.0,8.0,4000.0,388.0,19.8,4.559031486511231,16881/burrito-pie/,mexican,10.0,847.0,1.0,0.0,Burrito Pie,33.3,23.9,252IU,0.0,8.0,124.0,1,B
Chicken Enchiladas I,327.0,498,72.0,3.9,108.0,4.0,54.0,13.0,5000.0,496.0,26.7,4.47879219055176,8691/chicken-enchiladas-i/,mexican,9.0,1227.0,3.0,0.0,Chicken Enchiladas I,49.7,15.9,967IU,0.0,11.0,71.0,2,B
Angela's Awesome Enchiladas,509.0,709,126.0,4.4,115.0,5.0,68.0,18.0,3000.0,590.0,42.2,4.71423482894897,83549/angelas-awesome-enchiladas/,mexican,18.0,1764.0,4.0,0.0,Angela's Awesome Enchiladas,52.5,36.3,1422IU,0.0,19.0,60.0,4,C
Addictive Sweet Potato Burritos,307.0,505,20.0,13.4,100.0,5.0,51.0,5.0,2000.0,503.0,20.0,4.26624345779419,13954/addictive-sweet-potato-burritos/,mexican,4.0,1029.0,5.0,1.0,Addictive Sweet Potato Burritos,76.6,8.5,13603IU,0.0,15.0,207.0,-3,A
Lime Chicken Soft Tacos,78.0,204,37.0,1.4,40.0,2.0,22.0,6.0,2000.0,200.0,16.2,4.43320322036743,25371/lime-chicken-soft-tacos/,mexican,2.0,433.0,2.0,0.0,Lime Chicken Soft Tacos,18.9,6.8,187IU,0.0,4.0,44.0,0,B
Fish Tacos,145.0,409,54.0,4.9,65.0,2.0,49.0,3.0,3000.0,511.0,17.3,4.7090978622436515,53729/fish-tacos/,mexican,3.0,407.0,5.0,0.0,Fish Tacos,43.0,18.8,251IU,0.0,25.0,108.0,0,B
Easy Mexican Casserole,451.0,632,119.0,6.2,34.0,3.0,65.0,8.0,2000.0,925.0,31.7,4.38493347167969,20680/easy-mexican-casserole/,mexican,23.0,1308.0,6.0,0.0,Easy Mexican Casserole,32.8,43.7,1546IU,0.0,8.0,86.0,6,C
Delicious Black Bean Burritos,204.0,692,47.0,14.8,101.0,7.0,26.0,5.0,2000.0,296.0,21.2,4.4567375183105495,14041/delicious-black-bean-burritos/,mexican,12.0,1803.0,4.0,0.0,Delicious Black Bean Burritos,70.2,35.8,1707IU,0.0,42.0,304.0,-2,A
Black Bean and Corn Quesadillas,204.0,363,26.0,6.3,114.0,3.0,45.0,5.0,2000.0,332.0,13.9,4.61374807357788,104850/black-bean-and-corn-quesadillas/,mexican,7.0,732.0,3.0,0.0,Black Bean and Corn Quesadillas,45.6,14.5,332IU,0.0,2.0,93.0,1,B
Chicken Biryani,73.0,832,134.0,5.1,42.0,4.0,82.0,27.0,222.0,1021.0,47.8,4.31034469604492,16102/chicken-biryani/,indian,8.0,1522.0,5.0,0.0,Chicken Biryani,78.9,35.1,562IU,1.0,29.0,151.0,-1,A
Cholay (Curried Chickpeas),72.0,248,0.0,8.3,116.0,3.0,57.0,2.0,72.0,493.0,8.5,4.02631568908691,67767/cholay-curried-chickpeas/,indian,1.0,446.0,3.0,0.0,Cholay (Curried Chickpeas),40.2,6.7,809IU,1.0,17.0,264.0,-6,A
Indian Tomato Chicken,50.0,134,57.0,1.6,18.0,2.0,32.0,8.0,279.0,363.0,14.7,4.53024911880493,17449/indian-tomato-chicken/,indian,1.0,547.0,3.0,0.0,Indian Tomato Chicken,6.9,5.4,139IU,0.0,9.0,76.0,0,B
Indian Chicken Curry I,53.0,305,81.0,2.8,24.0,4.0,64.0,16.0,265.0,606.0,33.0,4.4471154212951705,20036/indian-chicken-curry-i/,indian,10.0,443.0,5.0,0.0,Indian Chicken Curry I,9.8,15.3,277IU,0.0,8.0,126.0,-2,A
Prawn Malai Curry,142.0,343,175.0,4.0,23.0,5.0,40.0,5.0,15.0,314.0,25.1,4.40000009536743,213244/prawn-malai-curry/,indian,13.0,71.0,3.0,0.0,Prawn Malai Curry,13.8,21.4,486IU,0.0,8.0,149.0,-1,A
Reshmi Kebab (Silken Kebabs),57.0,293,124.0,1.7,18.0,2.0,42.0,21.0,13.0,401.0,33.0,4.40000009536743,34974/reshmi-kebab-silken-kebabs/,indian,8.0,115.0,1.0,0.0,Reshmi Kebab (Silken Kebabs),5.3,15.6,1066IU,1.0,24.0,185.0,-4,A
Bhuna Gosht,80.0,453,90.0,4.3,60.0,3.0,53.0,12.0,21.0,760.0,25.6,4.22222232818604,212488/bhuna-gosht/,indian,10.0,90.0,9.0,0.0,Bhuna Gosht,20.5,30.4,1080IU,0.0,74.0,280.0,-6,A
Chicken Tikka Masala,206.0,404,143.0,2.5,24.0,3.0,57.0,13.0,3000.0,660.0,24.6,4.3879280090332005,45736/chicken-tikka-masala/,indian,17.0,1592.0,7.0,0.0,Chicken Tikka Masala,13.3,28.9,2432IU,1.0,11.0,98.0,7,C
Curry Stand Chicken Tikka Masala Sauce,68.0,328,106.0,2.3,19.0,2.0,37.0,9.0,3000.0,462.0,17.9,4.91445779800415,228293/curry-stand-chicken-tikka-masala-sauce/,indian,13.0,980.0,7.0,0.0,Curry Stand Chicken Tikka Masala Sauce,13.2,23.4,1496IU,0.0,9.0,62.0,5,C
Vegetarian Korma,120.0,462,82.0,8.4,84.0,3.0,83.0,5.0,2000.0,1088.0,8.6,4.570074558258058,60598/vegetarian-korma/,indian,15.0,1434.0,9.0,0.0,Vegetarian Korma,41.3,31.1,13460IU,1.0,73.0,373.0,1,B
Indian Chicken Curry II,172.0,313,38.0,3.8,27.0,4.0,66.0,11.0,1000.0,576.0,19.1,4.27110767364502,46822/indian-chicken-curry-ii/,indian,10.0,268.0,7.0,0.0,Indian Chicken Curry II,14.0,21.7,555IU,1.0,15.0,91.0,1,B
Red Lentil Curry,44.0,192,0.0,11.3,227.0,6.0,61.0,4.0,1000.0,727.0,12.1,4.49018049240112,16641/red-lentil-curry/,indian,0.0,572.0,7.0,0.0,Red Lentil Curry,32.5,2.6,377IU,0.0,9.0,63.0,-2,A
Chicken Makhani (Indian Butter Chicken),135.0,408,107.0,2.2,24.0,3.0,49.0,9.0,1000.0,625.0,23.4,4.50118970870972,45957/chicken-makhani-indian-butter-chicken/,indian,11.0,523.0,5.0,0.0,Chicken Makhani (Indian Butter Chicken),15.6,27.8,1194IU,0.0,12.0,153.0,1,B
Easy Indian Butter Chicken,134.0,880,303.0,2.6,26.0,2.0,50.0,12.0,1000.0,567.0,26.4,4.70970773696899,141169/easy-indian-butter-chicken/,indian,48.0,1461.0,5.0,0.0,Easy Indian Butter Chicken,12.8,82.3,3092IU,0.0,11.0,66.0,14,D
Spicy Vegan Potato Curry,107.0,407,0.0,10.1,94.0,7.0,98.0,4.0,1000.0,1090.0,10.1,4.4964103698730495,165190/spicy-vegan-potato-curry/,indian,13.0,1176.0,6.0,0.0,Spicy Vegan Potato Curry,50.6,20.1,1069IU,1.0,44.0,318.0,0,B
Indian Chicken Curry (Murgh Kari),143.0,427,95.0,2.9,29.0,3.0,64.0,23.0,1000.0,699.0,38.1,4.74545431137085,212721/indian-chicken-curry-murgh-kari/,indian,5.0,1370.0,5.0,0.0,Indian Chicken Curry (Murgh Kari),14.7,24.3,748IU,1.0,12.0,94.0,1,B
Chickpea Curry,51.0,135,0.0,4.6,56.0,2.0,28.0,1.0,641.0,217.0,4.1,4.2378716468811,34689/chickpea-curry/,indian,1.0,289.0,1.0,0.0,Chickpea Curry,20.5,4.5,506IU,0.0,7.0,131.0,-1,A
Slow Cooker Butter Chicken,134.0,480,103.0,4.0,33.0,6.0,79.0,12.0,1000.0,824.0,30.6,4.48566627502441,174543/slow-cooker-butter-chicken/,indian,19.0,442.0,8.0,0.0,Slow Cooker Butter Chicken,17.2,33.3,647IU,0.0,11.0,82.0,2,B
Baingan Bharta (Eggplant Curry),93.0,146,2.0,6.2,50.0,1.0,38.0,2.0,410.0,559.0,4.0,4.32051277160645,47564/baingan-bharta-eggplant-curry/,indian,1.0,739.0,8.0,0.0,Baingan Bharta (Eggplant Curry),15.2,8.0,596IU,0.0,12.0,150.0,0,B
Original Homemade Italian Beef,130.0,557,103.0,2.2,59.0,6.0,31.0,10.0,904.0,310.0,31.9,4.64715719223022,91597/original-homemade-italian-beef/,italian,11.0,4233.0,7.0,0.0,Original Homemade Italian Beef,38.4,28.8,315IU,0.0,1.0,56.0,12,D
Shrimp Scampi with Pasta,52.0,511,135.0,3.5,144.0,5.0,62.0,8.0,2000.0,268.0,21.9,4.5580358505249015,229960/shrimp-scampi-with-pasta/,italian,7.0,260.0,1.0,0.0,Shrimp Scampi with Pasta,57.5,19.4,849IU,0.0,10.0,53.0,0,B
Hearty Meatball Sandwich,196.0,491,75.0,3.0,30.0,5.0,39.0,12.0,197.0,441.0,29.3,4.50761413574219,59030/hearty-meatball-sandwich/,italian,8.0,1068.0,5.0,0.0,Hearty Meatball Sandwich,43.1,21.4,145IU,0.0,1.0,14.0,2,B
Pork Chops Italiano,57.0,290,63.0,2.0,24.0,2.0,40.0,11.0,948.0,691.0,25.3,4.55688619613647,219005/pork-chops-italiano/,italian,5.0,339.0,4.0,1.0,Pork Chops Italiano,7.8,17.6,217IU,1.0,32.0,121.0,-2,A
Kay's Spaghetti and Lasagna Sauce,93.0,206,34.0,3.8,31.0,4.0,46.0,6.0,985.0,728.0,13.2,4.36906385421753,23602/kays-spaghetti-and-lasagna-sauce/,italian,3.0,379.0,9.0,0.0,Kay's Spaghetti and Lasagna Sauce,22.0,8.4,1034IU,0.0,41.0,263.0,-6,A
Tagliatelle with Coriander Pesto,92.0,663,11.0,3.9,189.0,4.0,76.0,7.0,25.0,319.0,16.5,4.0,217292/tagliatelle-with-coriander-pesto/,italian,7.0,190.0,4.0,0.0,Tagliatelle with Coriander Pesto,64.8,39.4,1001IU,0.0,5.0,0.0,1,B
Tilapia Scaloppine,63.0,262,57.0,1.6,10.0,1.0,42.0,5.0,284.0,564.0,24.2,4.5,84737/tilapia-scaloppine/,italian,5.0,222.0,0.0,0.0,Tilapia Scaloppine,5.0,14.2,294IU,0.0,24.0,40.0,-1,A
Prune and Olive Chicken,49.0,402,97.0,1.2,11.0,3.0,37.0,10.0,260.0,386.0,31.2,4.65671634674072,8900/prune-and-olive-chicken/,italian,6.0,308.0,13.0,0.0,Prune and Olive Chicken,16.5,22.4,405IU,1.0,2.0,12.0,0,B
World's Best Lasagna,442.0,448,82.0,4.0,80.0,4.0,67.0,10.0,28000.0,876.0,29.7,4.7902708053588885,23600/worlds-best-lasagna/,italian,10.0,1788.0,9.0,0.0,World's Best Lasagna,36.5,21.3,1454IU,0.0,17.0,150.0,3,C
Chicken Marsala,25.0,448,99.0,0.5,23.0,2.0,40.0,20.0,7000.0,411.0,28.8,4.53676462173462,8887/chicken-marsala/,italian,10.0,543.0,3.0,0.0,Chicken Marsala,13.3,26.6,393IU,1.0,2.0,20.0,1,B
"Bow Ties with Sausage, Tomatoes and Cream",91.0,656,111.0,3.4,121.0,3.0,43.0,7.0,5000.0,350.0,20.1,4.68556547164917,26257/bow-ties-with-sausage-tomatoes-and-cream/,italian,20.0,1088.0,7.0,0.0,"Bow Ties with Sausage, Tomatoes and Cream",50.9,42.1,1693IU,0.0,17.0,116.0,7,C
Eggplant Parmesan II,512.0,487,73.0,8.8,50.0,4.0,63.0,10.0,4000.0,815.0,24.2,4.4523191452026385,25321/eggplant-parmesan-ii/,italian,7.0,1663.0,20.0,0.0,Eggplant Parmesan II,62.1,16.0,1089IU,0.0,5.0,56.0,3,C
Italian Spaghetti Sauce with Meatballs,140.0,349,77.0,4.5,46.0,6.0,59.0,9.0,4000.0,1023.0,18.9,4.52364158630371,21353/italian-spaghetti-sauce-with-meatballs/,italian,6.0,1492.0,12.0,0.0,Italian Spaghetti Sauce with Meatballs,23.7,21.2,825IU,1.0,33.0,363.0,-1,A
Garlic Cheddar Chicken,280.0,400,129.0,0.5,20.0,2.0,37.0,18.0,4000.0,265.0,34.5,4.609501361846919,70522/garlic-cheddar-chicken/,italian,15.0,488.0,1.0,0.0,Garlic Cheddar Chicken,8.4,24.9,657IU,1.0,1.0,0.0,1,B
Gourmet Mushroom Risotto,70.0,431,29.0,2.7,37.0,2.0,24.0,8.0,4000.0,692.0,11.3,4.79166650772095,85389/gourmet-mushroom-risotto/,italian,7.0,1131.0,4.0,0.0,Gourmet Mushroom Risotto,56.6,16.6,520IU,0.0,4.0,187.0,3,C
Chicken Parmesan,380.0,471,187.0,0.6,31.0,2.0,44.0,19.0,7000.0,389.0,42.1,4.81838321685791,223042/chicken-parmesan/,italian,9.0,840.0,2.0,0.0,Chicken Parmesan,24.8,24.9,628IU,1.0,3.0,0.0,-1,A
American Lasagna,759.0,664,168.0,4.2,108.0,6.0,78.0,15.0,2000.0,872.0,50.9,4.68004608154297,11729/american-lasagna/,italian,15.0,1900.0,14.0,0.0,American Lasagna,48.3,29.5,1758IU,0.0,23.0,156.0,2,B
Chicken Milano,76.0,641,156.0,2.8,124.0,3.0,77.0,22.0,3000.0,681.0,36.3,4.62059497833252,19304/chicken-milano/,italian,17.0,501.0,5.0,0.0,Chicken Milano,47.0,34.8,1116IU,1.0,5.0,7.0,2,B
Slow Cooker Italian Beef for Sandwiches,17.0,318,100.0,0.2,15.0,3.0,35.0,12.0,2000.0,530.0,39.4,4.629480361938481,16427/slow-cooker-italian-beef-for-sandwiches/,italian,6.0,819.0,1.0,0.0,Slow Cooker Italian Beef for Sandwiches,1.6,15.8,30IU,0.0,0.0,25.0,-2,A
Balsamic Roasted Pork Loin,32.0,299,55.0,0.1,4.0,1.0,19.0,8.0,3000.0,301.0,18.3,4.58597087860107,132815/balsamic-roasted-pork-loin/,italian,5.0,732.0,2.0,1.0,Balsamic Roasted Pork Loin,3.1,23.4,6IU,0.0,1.0,0.0,2,B
Lebanese Chicken Shawarma,152.0,365,133.0,0.7,16.0,2.0,60.0,31.0,20.0,618.0,51.0,4.7142858505249015,257328/lebanese-chicken-shawarma/,lebanese,3.0,480.0,5.0,0.0,Lebanese Chicken Shawarma,7.9,13.4,214IU,1.0,9.0,4.0,-4,A
Lebanese Chicken and Potatoes,51.0,592,65.0,6.5,55.0,3.0,86.0,11.0,281.0,1436.0,26.7,4.14338254928589,89833/lebanese-chicken-and-potatoes/,lebanese,6.0,81.0,3.0,0.0,Lebanese Chicken and Potatoes,53.9,30.5,86IU,1.0,75.0,0.0,-2,A
Fattoush,87.0,482,0.0,3.8,119.0,2.0,41.0,4.0,20.0,516.0,6.2,4.3600001335144,86283/fattoush/,lebanese,5.0,394.0,5.0,0.0,Fattoush,35.4,36.5,2781IU,0.0,55.0,324.0,-2,A
Middle Eastern Kibbeh,22.0,159,38.0,1.7,14.0,1.0,24.0,3.0,63.0,193.0,10.9,4.59090900421143,143265/middle-eastern-kibbeh/,lebanese,3.0,228.0,1.0,0.0,Middle Eastern Kibbeh,7.4,9.6,31IU,0.0,2.0,12.0,0,B
Lebanese Donair,236.0,990,128.0,6.8,145.0,10.0,118.0,25.0,40.0,1404.0,57.5,4.349999904632569,88233/lebanese-donair/,lebanese,14.0,471.0,6.0,1.0,Lebanese Donair,47.6,64.7,1837IU,1.0,45.0,81.0,-1,A
Mellas Family Lamb Stuffed Zucchini (Koosa),129.0,511,76.0,5.0,86.0,5.0,79.0,12.0,14.0,1185.0,26.2,4.25,207936/mellas-family-lamb-stuffed-zucchini-koosa/,lebanese,8.0,1593.0,9.0,0.0,Mellas Family Lamb Stuffed Zucchini (Koosa),44.8,26.6,762IU,1.0,49.0,326.0,-2,A
Mediterranean Meat Pies (Sfeeha),14.0,412,34.0,1.2,52.0,3.0,29.0,6.0,41.0,174.0,12.7,4.58620691299438,216879/mediterranean-meat-pies-sfeeha/,lebanese,8.0,162.0,1.0,0.0,Mediterranean Meat Pies (Sfeeha),26.4,28.7,15IU,0.0,3.0,12.0,2,B
Lamb Shawarma,60.0,376,115.0,0.4,31.0,3.0,34.0,8.0,83.0,380.0,29.0,4.625,214029/lamb-shawarma/,lebanese,11.0,966.0,2.0,0.0,Lamb Shawarma,3.0,26.8,106IU,0.0,3.0,10.0,2,B
Kafta (BBQ),21.0,227,74.0,0.5,18.0,2.0,23.0,8.0,173.0,327.0,22.0,4.41780805587769,64519/kafta/,lebanese,5.0,459.0,1.0,0.0,Kafta (BBQ),2.3,13.9,453IU,0.0,8.0,17.0,0,B
Tabbouleh III,38.0,244,0.0,4.6,37.0,1.0,46.0,2.0,226.0,338.0,3.3,4.42009115219116,14438/tabbouleh-iii/,lebanese,3.0,593.0,2.0,0.0,Tabbouleh III,19.0,18.5,1127IU,0.0,26.0,145.0,1,B
Lentil and Green Collard Soup,170.0,307,0.0,10.5,126.0,4.0,22.0,1.0,175.0,660.0,15.2,4.44767427444458,137450/lentil-and-green-collard-soup/,lebanese,1.0,1779.0,3.0,0.0,Lentil and Green Collard Soup,38.6,11.8,4694IU,0.0,38.0,54.0,1,B
Thick-Style Lebanese Garlic Sauce,4.0,123,0.0,0.1,1.0,2.0,3.0,0.0,160.0,13.0,0.1,4.12380933761597,150654/thick-style-lebanese-garlic-sauce/,lebanese,2.0,165.0,0.0,0.0,Thick-Style Lebanese Garlic Sauce,0.9,13.6,1IU,0.0,2.0,1.0,1,B
Lebanese Lemon Salad Dressing,5.0,176,0.0,0.2,3.0,0.0,2.0,0.0,145.0,33.0,0.2,4.47474765777588,164512/lebanese-lemon-salad-dressing/,lebanese,3.0,321.0,1.0,0.0,Lebanese Lemon Salad Dressing,2.4,18.7,5IU,0.0,10.0,0.0,2,B
Cilantro and Garlic Potatoes,34.0,250,0.0,4.4,37.0,2.0,46.0,3.0,66.0,847.0,4.1,4.15942049026489,83246/cilantro-and-garlic-potatoes/,lebanese,2.0,17.0,2.0,0.0,Cilantro and Garlic Potatoes,33.4,11.8,782IU,1.0,41.0,70.0,0,B
Chicken Shawarma,168.0,402,58.0,4.0,108.0,4.0,60.0,13.0,69.0,554.0,23.3,3.85294127464294,52407/chicken-shawarma/,lebanese,3.0,420.0,5.0,1.0,Chicken Shawarma,44.0,15.2,755IU,0.0,14.0,90.0,-1,A
Best Hummus,11.0,27,0.0,0.6,9.0,0.0,5.0,0.0,104.0,29.0,0.7,4.4629631042480495,231081/best-hummus/,lebanese,0.0,28.0,0.0,0.0,Best Hummus,2.5,1.7,94IU,0.0,2.0,59.0,0,B
Traditional Hummus,152.0,560,0.0,5.9,76.0,4.0,49.0,4.0,72.0,248.0,8.6,4.47727251052856,223276/traditional-hummus/,lebanese,7.0,244.0,0.0,0.0,Traditional Hummus,22.5,50.5,37IU,0.0,3.0,143.0,0,B
Lebanese Garlic Sauce,13.0,191,0.0,0.2,1.0,0.0,2.0,0.0,45.0,38.0,0.5,3.92105269432068,64229/lebanese-garlic-sauce/,lebanese,3.0,74.0,0.0,0.0,Lebanese Garlic Sauce,3.0,20.3,2IU,0.0,6.0,1.0,1,B
"Chard Lentil Soup, Lebanese-Style",59.0,361,0.0,11.8,151.0,4.0,91.0,5.0,40.0,1124.0,10.5,4.59459447860718,234775/chard-lentil-soup-lebanese-style/,lebanese,2.0,931.0,3.0,0.0,"Chard Lentil Soup, Lebanese-Style",50.7,14.0,1120IU,1.0,58.0,90.0,0,B
Basic Crepes,56.0,216,111.0,0.8,71.0,2.0,14.0,3.0,6000.0,115.0,7.4,4.63406562805176,16383/basic-crepes/,french,5.0,235.0,2.0,0.0,Basic Crepes,25.5,9.2,357IU,0.0,0.0,0.0,1,B
Gratin Dauphinois de Solange,493.0,627,180.0,3.3,32.0,1.0,56.0,6.0,13.0,746.0,17.2,4.875,246439/gratin-dauphinois-de-solange/,french,31.0,209.0,1.0,0.0,Gratin Dauphinois de Solange,29.5,49.9,1845IU,1.0,31.0,150.0,7,C
Traditional Layered French Croissants,23.0,213,45.0,0.7,55.0,1.0,7.0,2.0,51.0,60.0,3.2,4.35294103622437,190997/traditional-layered-french-croissants/,french,9.0,140.0,2.0,0.0,Traditional Layered French Croissants,18.8,14.0,456IU,0.0,0.0,0.0,3,C
Cali's Sinful Creme Brulee,111.0,680,419.0,1.2,38.0,1.0,34.0,2.0,102.0,192.0,6.6,4.59154939651489,83905/calis-sinful-creme-brulee/,french,33.0,58.0,37.0,0.0,Cali's Sinful Creme Brulee,42.6,55.8,2049IU,0.0,1.0,0.0,11,D
Beef Bourguignon II,112.0,583,125.0,4.1,57.0,4.0,57.0,10.0,569.0,730.0,32.2,4.44901323318481,16905/beef-bourguignon-ii/,french,15.0,1333.0,7.0,0.0,Beef Bourguignon II,21.9,31.0,5701IU,1.0,13.0,298.0,-2,A
Chef John's Creme Fraiche ,11.0,52,20.0,0.0,1.0,0.0,1.0,0.0,285.0,13.0,0.4,4.847328186035161,222387/chef-johns-creme-fraiche/,french,3.0,7.0,0.0,0.0,Chef John's Creme Fraiche ,0.5,5.5,219IU,0.0,0.0,0.0,0,B
French Onion Soup V,345.0,476,36.0,3.3,141.0,4.0,47.0,11.0,,362.0,21.8,,16386/french-onion-soup-v/,french,9.0,1224.0,6.0,0.0,French Onion Soup V,56.1,15.2,382IU,0.0,6.0,62.0,4,C
Chef John's Coq Au Vin,27.0,337,82.0,0.8,21.0,2.0,35.0,11.0,1000.0,473.0,24.4,4.85039377212524,239230/chef-johns-coq-au-vin/,french,6.0,582.0,2.0,0.0,Chef John's Coq Au Vin,7.9,18.0,380IU,0.0,4.0,50.0,1,B
Chicken Cordon Bleu II,272.0,584,195.0,0.3,17.0,1.0,55.0,23.0,9000.0,473.0,41.6,4.77732038497925,8669/chicken-cordon-bleu-ii/,french,24.0,655.0,1.0,0.0,Chicken Cordon Bleu II,7.7,40.9,1399IU,1.0,12.0,1.0,3,C
Creamy Au Gratin Potatoes,484.0,499,77.0,4.4,78.0,2.0,77.0,7.0,7000.0,1184.0,19.8,4.52618169784546,15925/creamy-au-gratin-potatoes/,french,16.0,683.0,9.0,0.0,Creamy Au Gratin Potatoes,49.3,25.4,939IU,1.0,19.0,165.0,2,B
Chicken Cordon Bleu I,379.0,419,124.0,0.8,25.0,2.0,60.0,25.0,4000.0,457.0,46.1,4.61334943771362,8495/chicken-cordon-bleu-i/,french,10.0,932.0,1.0,0.0,Chicken Cordon Bleu I,12.6,19.4,407IU,1.0,12.0,0.0,-1,A
French Baguettes,7.0,113,17.0,0.8,66.0,1.0,8.0,3.0,2000.0,40.0,3.8,4.76706314086914,7028/french-baguettes/,french,0.0,196.0,1.0,0.0,French Baguettes,22.0,0.9,21IU,0.0,0.0,0.0,0,B
French Onion Soup Gratinee,759.0,618,114.0,4.2,111.0,3.0,61.0,8.0,2000.0,543.0,29.7,4.73166036605835,91192/french-onion-soup-gratinee/,french,21.0,3336.0,11.0,0.0,French Onion Soup Gratinee,39.5,35.9,2758IU,0.0,31.0,175.0,10,C
French Bread,5.0,94,0.0,0.8,60.0,1.0,6.0,2.0,1000.0,41.0,2.9,4.52325582504272,6882/french-bread/,french,0.0,119.0,0.0,0.0,French Bread,19.5,0.3,1IU,0.0,0.0,0.0,0,B
Rich and Simple French Onion Soup,451.0,585,98.0,2.7,71.0,2.0,41.0,7.0,1000.0,432.0,20.9,4.59847211837769,13309/rich-and-simple-french-onion-soup/,french,24.0,1578.0,6.0,0.0,Rich and Simple French Onion Soup,27.9,43.9,1114IU,0.0,9.0,115.0,9,C
