,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C,VeggieWeight,NutriScore,NutriLetter
Ratatouille,271.0,251,18.0,7.4,71.0,2.0,71.0,6.0,1000.0,1049.0,12.7,4.44780206680298,18411/ratatouille/,french,5.0,327.0,13.0,0.0,Ratatouille,24.3,13.5,1350IU,0.0,56.0,306.0,-5,A
Chocolate Ganache,10.0,142,21.0,1.2,1.0,0.0,1.0,0.0,1000.0,71.0,1.4,4.81209897994995,33647/chocolate-ganache/,french,7.0,6.0,7.0,0.0,Chocolate Ganache,9.4,10.8,220IU,0.0,0.0,0.0,2,B
Crepes,44.0,79,49.0,0.3,26.0,1.0,7.0,1.0,2000.0,74.0,3.7,4.7649221420288095,27188/crepes/,french,1.0,30.0,2.0,0.0,Crepes,9.5,2.8,119IU,0.0,0.0,0.0,0,B
Dessert Crepes,66.0,164,111.0,0.4,43.0,1.0,11.0,2.0,1000.0,115.0,6.4,4.81281805038452,19037/dessert-crepes/,french,3.0,235.0,5.0,0.0,Dessert Crepes,17.2,7.7,348IU,0.0,0.0,0.0,1,B
Glo's Sausage Fried Rice,93.0,540,155.0,4.8,139.0,4.0,46.0,6.0,168.0,476.0,17.3,4.48765420913696,47022/glos-sausage-fried-rice/,japanese,10.0,943.0,5.0,1.0,Glo's Sausage Fried Rice,46.4,31.7,5230IU,0.0,43.0,195.0,1,B
Miso Salmon,98.0,719,132.0,2.8,70.0,3.0,97.0,27.0,81.0,956.0,50.5,4.423728942871089,106227/miso-salmon/,japanese,7.0,2247.0,24.0,1.0,Miso Salmon,34.9,40.5,152IU,2.0,9.0,0.0,4,C
Teriyaki Rib Eye Steaks,19.0,297,60.0,0.2,8.0,2.0,26.0,4.0,97.0,336.0,19.6,4.5180721282959,107586/teriyaki-rib-eye-steaks/,japanese,7.0,992.0,12.0,0.0,Teriyaki Rib Eye Steaks,13.5,18.1,4IU,0.0,1.0,0.0,2,B
Japanese Ginger Pork,15.0,289,55.0,0.1,5.0,1.0,22.0,8.0,40.0,298.0,18.8,4.38888883590698,87392/japanese-ginger-pork/,japanese,5.0,491.0,3.0,1.0,Japanese Ginger Pork,3.6,20.1,6IU,0.0,0.0,1.0,1,B
Chicken Katsu,20.0,297,118.0,0.1,16.0,1.0,27.0,17.0,1000.0,239.0,31.2,4.67230176925659,72068/chicken-katsu/,japanese,2.0,251.0,0.0,0.0,Chicken Katsu,22.2,11.4,79IU,1.0,0.0,0.0,-3,A
Chicken Yakisoba,91.0,503,29.0,7.2,82.0,3.0,64.0,11.0,360.0,579.0,26.5,4.54666662216187,230764/chicken-yakisoba/,japanese,2.0,3868.0,10.0,0.0,Chicken Yakisoba,69.8,16.5,6151IU,1.0,46.0,135.0,6,C
Quick Oyakodon,103.0,619,221.0,5.5,296.0,8.0,77.0,18.0,34.0,574.0,31.0,4.40740728378296,71160/quick-oyakodon/,japanese,2.0,2283.0,19.0,1.0,Quick Oyakodon,106.1,6.7,667IU,1.0,18.0,560.0,-1,A
Tonkatsu - Asian-Style Pork Chop,26.0,276,109.0,0.0,12.0,1.0,26.0,10.0,190.0,424.0,28.4,4.39864873886108,58793/tonkatsu-asian-style-pork-chop/,japanese,4.0,199.0,0.0,1.0,Tonkatsu - Asian-Style Pork Chop,14.3,13.2,67IU,0.0,0.0,0.0,-2,A
Japanese Okonomiyaki,138.0,659,217.0,8.3,293.0,7.0,63.0,14.0,57.0,717.0,29.3,3.86153841018677,99392/japanese-okonomiyaki/,japanese,6.0,1531.0,11.0,1.0,Japanese Okonomiyaki,90.7,19.4,495IU,0.0,83.0,83.0,2,B
Yakisoba Chicken,69.0,295,46.0,3.0,68.0,2.0,80.0,16.0,777.0,565.0,26.3,4.2952184677124,8628/yakisoba-chicken/,japanese,1.0,1621.0,6.0,0.0,Yakisoba Chicken,40.7,4.8,3488IU,1.0,32.0,98.0,1,B
Sesame Seared Tuna,207.0,422,77.0,2.3,22.0,4.0,155.0,26.0,589.0,879.0,44.1,4.6797385215759295,71698/sesame-seared-tuna/,japanese,3.0,1045.0,6.0,1.0,Sesame Seared Tuna,13.2,20.7,92IU,2.0,1.0,0.0,-1,A
Japanese-Style Deep-Fried Shrimp,80.0,630,250.0,1.5,77.0,3.0,47.0,6.0,452.0,287.0,28.3,4.83219194412231,127500/japanese-style-deep-fried-shrimp/,japanese,6.0,763.0,0.0,0.0,Japanese-Style Deep-Fried Shrimp,53.7,36.6,590IU,0.0,2.0,0.0,1,B
Japanese Beef Stir-Fry,91.0,290,39.0,2.6,91.0,4.0,46.0,10.0,391.0,568.0,26.4,4.54883718490601,212636/japanese-beef-stir-fry/,japanese,2.0,1271.0,7.0,0.0,Japanese Beef Stir-Fry,26.4,7.6,3572IU,1.0,67.0,200.0,-1,A
Soba with Toasted Sesame Seed Sauce,247.0,355,0.0,4.5,108.0,5.0,139.0,7.0,188.0,526.0,14.2,4.02551031112671,14024/soba-with-toasted-sesame-seed-sauce/,japanese,2.0,1037.0,6.0,0.0,Soba with Toasted Sesame Seed Sauce,57.3,10.9,618IU,0.0,65.0,70.0,1,B
Sushi Roll,12.0,152,6.0,2.4,62.0,1.0,25.0,2.0,201.0,186.0,3.9,4.40104150772095,24228/sushi-roll/,japanese,1.0,703.0,7.0,0.0,Sushi Roll,25.8,3.9,132IU,0.0,3.0,62.0,2,B
Gyoza,30.0,184,37.0,1.2,37.0,1.0,16.0,4.0,226.0,156.0,7.9,4.43548393249512,27190/gyoza/,japanese,2.0,546.0,1.0,0.0,Gyoza,18.5,8.5,582IU,0.0,7.0,27.0,1,B
Sesame Crusted Mahi Mahi with Soy Shiso Ginger Butter Sauce,189.0,502,192.0,2.6,28.0,4.0,88.0,18.0,133.0,930.0,35.6,4.72222232818604,42231/sesame-crusted-mahi-mahi-with-soy-shiso-ginger-butter-sauce/,japanese,16.0,776.0,1.0,0.0,Sesame Crusted Mahi Mahi with Soy Shiso Ginger Butter Sauce,11.0,34.6,1401IU,1.0,16.0,63.0,2,B
Oyako Donburi,64.0,278,282.0,1.7,58.0,2.0,51.0,17.0,145.0,524.0,29.6,4.67479658126831,43628/oyako-donburi/,japanese,3.0,1349.0,9.0,0.0,Oyako Donburi,15.7,10.8,3000IU,1.0,6.0,60.0,1,B
Oyakodon (Japanese Chicken and Egg Rice Bowl),80.0,688,208.0,2.2,57.0,3.0,46.0,11.0,199.0,510.0,35.3,4.53508758544922,128589/oyakodon-japanese-chicken-and-egg-rice-bowl/,japanese,4.0,1226.0,17.0,0.0,Oyakodon (Japanese Chicken and Egg Rice Bowl),97.9,14.6,311IU,0.0,4.0,25.0,2,B
Ashley's Chicken Katsu with Tonkatsu Sauce,127.0,718,136.0,1.6,92.0,7.0,53.0,17.0,127.0,947.0,30.2,4.23893785476685,75981/ashleys-chicken-katsu-with-tonkatsu-sauce/,japanese,7.0,2290.0,15.0,0.0,Ashley's Chicken Katsu with Tonkatsu Sauce,73.1,36.8,594IU,0.0,15.0,50.0,6,C
Sweet and Nutty Moroccan Couscous,70.0,442,25.0,6.4,18.0,2.0,63.0,5.0,,377.0,10.5,,81551/sweet-and-nutty-moroccan-couscous/,north-african,6.0,164.0,17.0,0.0,Sweet and Nutty Moroccan Couscous,68.2,14.8,894IU,0.0,0.0,26.0,1,B
Marrakesh Vegetable Curry,130.0,330,0.0,10.5,189.0,11.0,120.0,4.0,595.0,1084.0,8.0,4.558608055114751,13988/marrakesh-vegetable-curry/,north-african,2.0,874.0,13.0,0.0,Marrakesh Vegetable Curry,39.0,18.0,12444IU,1.0,89.0,273.0,-4,A
Moroccan Lentil Soup,121.0,329,0.0,18.0,255.0,6.0,107.0,4.0,498.0,923.0,18.3,4.37618160247803,12960/moroccan-lentil-soup/,north-african,1.0,317.0,5.0,0.0,Moroccan Lentil Soup,56.5,3.6,2181IU,1.0,16.0,229.0,-7,A
Slow Cooker Chicken Marrakesh,89.0,290,66.0,6.3,47.0,3.0,75.0,20.0,932.0,886.0,30.6,4.18253946304321,218769/slow-cooker-chicken-marrakesh/,north-african,0.0,625.0,7.0,0.0,Slow Cooker Chicken Marrakesh,36.0,2.0,19569IU,1.0,12.0,184.0,-5,A
Moroccan Tagine,146.0,265,20.0,8.1,99.0,4.0,87.0,7.0,407.0,905.0,14.1,4.4250001907348615,69633/moroccan-tagine/,north-african,1.0,878.0,9.0,0.0,Moroccan Tagine,44.7,4.3,20359IU,1.0,46.0,191.0,-3,A
Moroccan Chicken,99.0,286,67.0,6.3,86.0,4.0,84.0,22.0,358.0,1086.0,36.0,4.30320692062378,18182/moroccan-chicken/,north-african,1.0,2128.0,5.0,0.0,Moroccan Chicken,27.9,3.7,5893IU,1.0,24.0,321.0,-4,A
Lamb Tagine,76.0,423,109.0,4.6,48.0,4.0,50.0,14.0,410.0,659.0,35.8,4.66666650772095,105044/lamb-tagine/,north-african,5.0,1129.0,11.0,0.0,Lamb Tagine,23.6,20.5,13396IU,0.0,13.0,83.0,0,B
Make-Ahead Vegetarian Moroccan Stew,196.0,543,5.0,24.0,252.0,7.0,149.0,8.0,360.0,2046.0,19.5,4.54794502258301,217109/make-ahead-vegetarian-moroccan-stew/,north-african,2.0,1218.0,23.0,1.0,Make-Ahead Vegetarian Moroccan Stew,110.6,4.2,26614IU,1.0,80.0,351.0,-8,A
Chicken Tagine,50.0,380,65.0,4.2,29.0,2.0,41.0,10.0,189.0,500.0,22.3,4.21505355834961,180014/chicken-tagine/,north-african,4.0,571.0,14.0,0.0,Chicken Tagine,38.5,15.2,6494IU,0.0,8.0,139.0,-1,A
Chakchouka (Shakshouka),60.0,209,164.0,3.1,53.0,2.0,31.0,3.0,546.0,511.0,7.8,4.60540533065796,213717/chakchouka-shakshouka/,north-african,3.0,654.0,7.0,0.0,Chakchouka (Shakshouka),12.9,15.0,1678IU,0.0,65.0,230.0,0,B
Moroccan Chicken and Whole Grain Couscous,91.0,399,67.0,7.8,94.0,4.0,74.0,15.0,139.0,739.0,33.4,4.374149799346919,83565/moroccan-chicken-and-whole-grain-couscous/,north-african,1.0,1539.0,4.0,0.0,Moroccan Chicken and Whole Grain Couscous,50.7,6.7,4054IU,1.0,18.0,198.0,-4,A
Harira,86.0,467,116.0,13.3,222.0,6.0,81.0,11.0,153.0,689.0,29.4,4.5517239570617685,13443/harira/,north-african,6.0,594.0,6.0,0.0,Harira,50.0,16.7,1170IU,1.0,38.0,233.0,-5,A
Moroccan Couscous,53.0,246,0.0,5.2,31.0,2.0,49.0,3.0,136.0,447.0,8.4,4.4963502883911115,105045/moroccan-couscous/,north-african,0.0,263.0,10.0,0.0,Moroccan Couscous,48.1,2.6,208IU,0.0,30.0,123.0,-2,A
Spanish Moroccan Fish,105.0,268,70.0,3.3,48.0,3.0,82.0,9.0,165.0,1078.0,41.7,4.40157461166382,133895/spanish-moroccan-fish/,north-african,1.0,381.0,3.0,0.0,Spanish Moroccan Fish,12.6,5.1,3209IU,1.0,38.0,146.0,-5,A
Fava Bean Breakfast Spread,34.0,101,0.0,3.5,37.0,1.0,32.0,2.0,72.0,316.0,4.6,4.59756088256836,17596/fava-bean-breakfast-spread/,north-african,1.0,322.0,2.0,0.0,Fava Bean Breakfast Spread,13.6,3.7,477IU,0.0,14.0,81.0,1,B
25-Minute Tunisian Vegetable Couscous,84.0,387,,8.8,86.0,3.0,68.0,6.0,72.0,487.0,13.6,4.14666652679443,168959/25-minute-tunisian-vegetable-couscous/,north-african,1.0,699.0,5.0,0.0,25-Minute Tunisian Vegetable Couscous,72.1,4.9,2045IU,1.0,53.0,233.0,-3,A
Cold Roasted Moroccan Spiced Salmon,25.0,225,84.0,0.3,35.0,1.0,46.0,18.0,68.0,755.0,30.2,4.42028999328613,110025/cold-roasted-moroccan-spiced-salmon/,north-african,2.0,261.0,1.0,0.0,Cold Roasted Moroccan Spiced Salmon,2.2,9.8,74IU,1.0,1.0,0.0,-3,A
Moroccan Chickpea Stew,296.0,476,0.0,13.6,130.0,9.0,120.0,7.0,126.0,1832.0,15.7,4.66666650772095,217947/moroccan-chickpea-stew/,north-african,1.0,1263.0,27.0,0.0,Moroccan Chickpea Stew,96.1,6.5,18799IU,1.0,170.0,419.0,-4,A
Algerian Carrots,55.0,157,0.0,4.8,22.0,1.0,17.0,1.0,92.0,370.0,1.3,4.17741918563843,99244/algerian-carrots/,north-african,2.0,476.0,5.0,0.0,Algerian Carrots,13.5,11.6,25786IU,0.0,6.0,175.0,0,B
Bissara,62.0,371,0.0,19.5,219.0,4.0,93.0,6.0,49.0,810.0,18.7,4.20967721939087,104405/bissara/,north-african,2.0,18.0,6.0,1.0,Bissara,46.3,13.5,1317IU,0.0,16.0,113.0,-6,A
Honey Walnut Shrimp,69.0,605,179.0,1.5,19.0,3.0,65.0,5.0,711.0,317.0,26.1,4.51422786712646,93234/honey-walnut-shrimp/,chinese,4.0,340.0,45.0,0.0,Honey Walnut Shrimp,68.0,26.3,247IU,0.0,2.0,0.0,2,B
General Tsao's Chicken II,58.0,634,101.0,0.8,14.0,3.0,26.0,9.0,2000.0,530.0,24.3,4.76080703735352,91499/general-tsaos-chicken-ii/,chinese,6.0,1192.0,18.0,0.0,General Tsao's Chicken II,54.9,36.5,133IU,0.0,8.0,40.0,4,C
Sweet and Sour Pork III,57.0,663,43.0,2.3,31.0,1.0,34.0,6.0,1000.0,516.0,13.9,4.7063493728637695,31144/sweet-and-sour-pork-iii/,chinese,7.0,1085.0,52.0,0.0,Sweet and Sour Pork III,74.7,35.0,485IU,0.0,36.0,280.0,2,B
Moo Goo Gai Pan,72.0,409,86.0,8.3,106.0,5.0,64.0,23.0,108.0,800.0,41.7,4.37634420394897,165846/moo-goo-gai-pan/,chinese,3.0,990.0,9.0,0.0,Moo Goo Gai Pan,30.9,14.3,397IU,1.0,55.0,415.0,-8,A
Crispy Orange Beef,122.0,507,60.0,5.9,197.0,5.0,79.0,11.0,1000.0,983.0,27.4,4.47147130966187,57966/crispy-orange-beef/,chinese,5.0,651.0,17.0,0.0,Crispy Orange Beef,59.2,18.7,1280IU,1.0,189.0,10.0,0,B
Restaurant Style Beef and Broccoli,61.0,331,52.0,3.0,79.0,3.0,45.0,8.0,2000.0,683.0,21.7,4.4371194839477495,191156/restaurant-style-beef-and-broccoli/,chinese,5.0,419.0,3.0,0.0,Restaurant Style Beef and Broccoli,13.3,21.1,707IU,1.0,102.0,140.0,-1,A
Chicken Broccoli Ca - Unieng's Style,111.0,170,33.0,2.5,82.0,2.0,44.0,10.0,266.0,520.0,16.2,4.32456159591675,46819/chicken-broccoli-ca-uniengs-style/,chinese,1.0,418.0,3.0,0.0,Chicken Broccoli Ca - Unieng's Style,9.8,7.9,3422IU,1.0,75.0,76.0,-1,A
Chinese Barbeque Pork (Char Siu),57.0,513,90.0,0.8,14.0,3.0,40.0,10.0,88.0,504.0,26.0,4.72222232818604,258494/chinese-barbeque-pork-char-siu/,chinese,8.0,2421.0,42.0,1.0,Chinese Barbeque Pork (Char Siu),49.1,21.9,165IU,0.0,3.0,0.0,8,C
Szechwan Shrimp,46.0,142,164.0,0.4,9.0,3.0,35.0,3.0,3000.0,230.0,18.3,4.4280891418457005,86230/szechwan-shrimp/,chinese,1.0,500.0,4.0,0.0,Szechwan Shrimp,6.7,4.4,476IU,0.0,5.0,8.0,-1,A
Chinese Chicken Fried Rice II,31.0,255,83.0,1.0,60.0,2.0,26.0,6.0,4000.0,172.0,14.1,4.3933367729187,16954/chinese-chicken-fried-rice-ii/,chinese,3.0,516.0,1.0,0.0,Chinese Chicken Fried Rice II,25.9,10.2,169IU,0.0,2.0,25.0,0,B
Kung Pao Chicken,49.0,437,66.0,4.2,60.0,2.0,93.0,23.0,1000.0,621.0,34.4,4.28421068191528,9027/kung-pao-chicken/,chinese,4.0,596.0,7.0,0.0,Kung Pao Chicken,25.3,23.3,174IU,1.0,6.0,192.0,-4,A
Asian Beef with Snow Peas,34.0,203,39.0,1.5,23.0,3.0,32.0,6.0,1000.0,343.0,16.0,4.30169773101807,15679/asian-beef-with-snow-peas/,chinese,3.0,711.0,6.0,0.0,Asian Beef with Snow Peas,9.7,10.0,66IU,0.0,26.0,58.0,1,B
Sweet and Sour Chicken I,158.0,639,160.0,1.8,86.0,4.0,82.0,40.0,1000.0,742.0,59.2,4.50677967071533,8536/sweet-and-sour-chicken-i/,chinese,3.0,759.0,24.0,0.0,Sweet and Sour Chicken I,56.2,18.4,201IU,1.0,29.0,106.0,-4,A
Mongolian Beef and Spring Onions,130.0,391,27.0,3.3,81.0,4.0,52.0,8.0,1000.0,606.0,18.0,4.6117787361145,201849/mongolian-beef-and-spring-onions/,chinese,3.0,1862.0,39.0,0.0,Mongolian Beef and Spring Onions,54.7,12.1,1122IU,0.0,22.0,60.0,6,C
Chinese Pepper Steak,25.0,312,69.0,1.7,26.0,4.0,45.0,10.0,1000.0,647.0,26.1,4.56942510604858,172704/chinese-pepper-steak/,chinese,3.0,972.0,10.0,0.0,Chinese Pepper Steak,17.0,15.4,490IU,1.0,32.0,119.0,0,B
Grilled Asian Chicken,18.0,217,67.0,0.2,6.0,1.0,31.0,16.0,643.0,255.0,25.7,4.47817850112915,8919/grilled-asian-chicken/,chinese,1.0,961.0,9.0,0.0,Grilled Asian Chicken,10.6,7.6,17IU,1.0,1.0,75.0,-1,A
Black Pepper Beef and Cabbage Stir Fry,52.0,280,48.0,3.1,57.0,2.0,29.0,6.0,832.0,380.0,11.6,4.24334621429443,50233/black-pepper-beef-and-cabbage-stir-fry/,chinese,7.0,547.0,4.0,0.0,Black Pepper Beef and Cabbage Stir Fry,9.5,22.1,1021IU,0.0,72.0,78.0,3,C
"Super-Simple, Super-Spicy Mongolian Beef",29.0,200,25.0,1.2,18.0,2.0,25.0,6.0,498.0,289.0,15.4,4.56839609146118,148831/super-simple-super-spicy-mongolian-beef/,chinese,3.0,996.0,4.0,0.0,"Super-Simple, Super-Spicy Mongolian Beef",7.9,11.9,1061IU,0.0,5.0,54.0,2,B
Slow Cooker Mongolian Beef,94.0,450,47.0,2.2,43.0,3.0,56.0,12.0,507.0,620.0,28.0,3.94177222251892,195083/slow-cooker-mongolian-beef/,chinese,4.0,2391.0,38.0,0.0,Slow Cooker Mongolian Beef,55.4,13.0,190IU,1.0,6.0,110.0,6,C
Ten Minute Szechuan Chicken,31.0,206,68.0,0.6,15.0,2.0,43.0,20.0,472.0,381.0,28.7,4.22107982635498,49014/ten-minute-szechuan-chicken/,chinese,1.0,745.0,2.0,0.0,Ten Minute Szechuan Chicken,10.1,4.9,161IU,1.0,5.0,81.0,-2,A
Brazilian Chicken with Coconut Milk,62.0,345,72.0,2.8,49.0,3.0,52.0,18.0,571.0,624.0,29.3,4.27737236022949,58647/brazilian-chicken-with-coconut-milk/,south-american,7.0,234.0,4.0,0.0,Brazilian Chicken with Coconut Milk,11.5,19.9,2301IU,1.0,38.0,292.0,-6,A
Argentine Meat Empanadas,28.0,498,73.0,1.5,51.0,3.0,22.0,7.0,131.0,213.0,14.7,4.16964292526245,12512/argentine-meat-empanadas/,south-american,10.0,326.0,4.0,0.0,Argentine Meat Empanadas,27.7,36.8,455IU,0.0,2.0,36.0,2,B
"Silpancho from Cochabamba, Bolivia",207.0,928,235.0,9.6,284.0,10.0,125.0,21.0,9.0,1615.0,43.1,4.75,255744/silpancho-from-cochabamba-bolivia/,south-american,6.0,558.0,10.0,1.0,"Silpancho from Cochabamba, Bolivia",133.8,23.7,733IU,1.0,73.0,287.0,-7,A
Brazilian Cheese Rolls (Pao de Queijo),166.0,199,36.0,0.0,5.0,0.0,8.0,1.0,76.0,34.0,5.8,4.5,221430/brazilian-cheese-rolls-pao-de-queijo/,south-american,4.0,386.0,0.0,0.0,Brazilian Cheese Rolls (Pao de Queijo),17.2,12.0,124IU,0.0,0.0,0.0,2,B
Chef John's Chimichurri Sauce,52.0,255,0.0,0.8,27.0,1.0,14.0,0.0,330.0,153.0,1.0,4.82539701461792,236375/chef-johns-chimichurri-sauce/,south-american,4.0,304.0,0.0,0.0,Chef John's Chimichurri Sauce,3.0,27.3,1812IU,0.0,25.0,50.0,2,B
Bolivian Saltenas,48.0,482,108.0,4.0,119.0,4.0,39.0,9.0,43.0,480.0,16.6,4.0303030014038095,216872/bolivian-saltenas/,south-american,10.0,551.0,12.0,0.0,Bolivian Saltenas,59.0,20.3,1347IU,0.0,17.0,113.0,3,C
Peruvian Arroz con Pollo,78.0,739,136.0,3.5,155.0,5.0,77.0,21.0,96.0,723.0,45.7,4.46875,204963/peruvian-arroz-con-pollo/,south-american,7.0,198.0,6.0,1.0,Peruvian Arroz con Pollo,65.2,29.7,3664IU,1.0,39.0,114.0,-3,A
Colombian Stewed Flank,45.0,236,36.0,2.1,23.0,3.0,32.0,6.0,47.0,466.0,15.4,4.3513512611389205,143611/colombian-stewed-flank/,south-american,4.0,770.0,5.0,0.0,Colombian Stewed Flank,9.2,15.6,659IU,0.0,14.0,36.0,1,B
Suspiro Limeno,359.0,401,109.0,0.1,21.0,0.0,34.0,3.0,16.0,461.0,11.6,4.16666650772095,142175/suspiro-limeno/,south-american,7.0,171.0,62.0,0.0,Suspiro Limeno,62.4,11.9,401IU,0.0,3.0,0.0,5,C
Quinoa and Black Beans,41.0,153,0.0,7.8,61.0,2.0,35.0,2.0,7000.0,333.0,7.7,4.64422559738159,49552/quinoa-and-black-beans/,south-american,0.0,517.0,2.0,0.0,Quinoa and Black Beans,27.8,1.7,362IU,0.0,5.0,133.0,-3,A
Mom's Stovetop Pork Ribs,157.0,461,125.0,3.4,85.0,6.0,64.0,14.0,670.0,710.0,33.5,4.55403089523315,75811/moms-stovetop-pork-ribs/,south-american,12.0,1327.0,1.0,0.0,Mom's Stovetop Pork Ribs,10.7,32.0,4031IU,1.0,74.0,25.0,2,B
Brazilian Black Bean Stew,162.0,508,31.0,17.8,134.0,8.0,109.0,9.0,508.0,1476.0,22.8,4.651804447174071,71808/brazilian-black-bean-stew/,south-american,5.0,1538.0,17.0,1.0,Brazilian Black Bean Stew,70.7,15.0,23932IU,1.0,91.0,457.0,-5,A
Brazilian Lemonade,61.0,152,5.0,0.9,4.0,0.0,9.0,0.0,442.0,90.0,1.4,4.71250009536743,54083/brazilian-lemonade/,south-american,1.0,28.0,33.0,0.0,Brazilian Lemonade,36.2,1.3,55IU,0.0,10.0,25.0,2,B
Brazilian White Rice,19.0,201,0.0,0.7,107.0,2.0,13.0,3.0,418.0,61.0,3.4,4.40749979019165,144308/brazilian-white-rice/,south-american,1.0,297.0,0.0,0.0,Brazilian White Rice,37.5,3.7,0IU,0.0,0.0,3.0,1,B
Brazilian Fish Stew,116.0,359,42.0,4.8,41.0,6.0,93.0,7.0,439.0,1079.0,27.4,4.40054512023926,190412/brazilian-fish-stew/,south-american,14.0,600.0,6.0,0.0,Brazilian Fish Stew,15.6,21.8,2394IU,1.0,105.0,250.0,-4,A
Brigadeiro,57.0,70,8.0,0.3,2.0,0.0,9.0,0.0,482.0,85.0,1.7,4.3641791343689,24052/brigadeiro/,south-american,2.0,29.0,11.0,0.0,Brigadeiro,11.1,2.4,70IU,0.0,1.0,0.0,1,B
Brazilian Cheese Bread (Pao de Queijo),131.0,385,71.0,0.0,9.0,1.0,9.0,1.0,557.0,67.0,6.3,4.37599992752075,98554/brazilian-cheese-bread-pao-de-queijo/,south-american,5.0,555.0,1.0,0.0,Brazilian Cheese Bread (Pao de Queijo),39.9,22.6,146IU,0.0,0.0,0.0,3,C
Chimichurri Sauce,23.0,133,0.0,0.5,10.0,1.0,6.0,0.0,317.0,53.0,0.3,4.54460096359253,68003/chimichurri-sauce/,south-american,2.0,201.0,0.0,0.0,Chimichurri Sauce,1.3,14.2,487IU,0.0,7.0,5.0,1,B
Fried Empanadas,14.0,528,33.0,1.1,48.0,2.0,13.0,4.0,230.0,138.0,8.0,4.5144510269165,71805/fried-empanadas/,south-american,7.0,169.0,2.0,0.0,Fried Empanadas,21.4,46.2,324IU,0.0,1.0,15.0,2,B
Quinoa Pudding,31.0,202,0.0,2.7,53.0,2.0,64.0,1.0,200.0,345.0,4.4,3.90532541275024,19587/quinoa-pudding/,south-american,0.0,8.0,9.0,0.0,Quinoa Pudding,42.6,1.9,8IU,0.0,3.0,25.0,1,B
Thai-Style Fragrant Rice,87.0,438,0.0,1.8,24.0,4.0,62.0,1.0,8.0,243.0,7.4,4.07142877578735,143212/thai-style-fragrant-rice/,thai,16.0,164.0,0.0,0.0,Thai-Style Fragrant Rice,62.7,18.2,947IU,0.0,2.0,25.0,4,C
Khao Man Gai Thai Chicken and Rice (Healthy Version),99.0,807,59.0,4.8,45.0,5.0,82.0,14.0,0.0,937.0,37.6,0.0,257375/khao-man-gai-thai-chicken-and-rice-healthy-version/,thai,2.0,3154.0,26.0,0.0,Khao Man Gai Thai Chicken and Rice (Healthy Version),137.6,12.4,1951IU,1.0,340.0,527.0,2,B
Goong Tod Kratiem Prik Thai (Prawns Fried with Garlic and White Pepper),75.0,377,157.0,1.0,21.0,1.0,52.0,8.0,2.0,258.0,20.5,4.5,245888/goong-tod-kratiem-prik-thai-prawns-fried-with-garlic-and-white-pepper/,thai,4.0,1118.0,4.0,0.0,Goong Tod Kratiem Prik Thai (Prawns Fried with Garlic and White Pepper),19.5,24.7,169IU,0.0,3.0,20.0,2,B
Yam Taeng (Spicy Cucumber Salad),141.0,347,8.0,10.2,537.0,7.0,304.0,7.0,2.0,1253.0,22.5,5.0,213923/yam-taeng-spicy-cucumber-salad/,thai,1.0,625.0,4.0,1.0,Yam Taeng (Spicy Cucumber Salad),57.9,4.5,365IU,0.0,28.0,268.0,-8,A
Pad Kee Mow (Drunkard's Noodles),74.0,301,20.0,2.5,41.0,3.0,49.0,6.0,51.0,338.0,11.8,4.48717927932739,220443/pad-kee-mow-drunkards-noodles/,thai,1.0,1204.0,5.0,0.0,Pad Kee Mow (Drunkard's Noodles),44.9,8.3,2347IU,0.0,38.0,141.0,2,B
Thai Sweet Sticky Rice With Mango (Khao Neeo Mamuang),65.0,817,0.0,6.4,213.0,7.0,92.0,6.0,350.0,561.0,8.4,4.520161151885991,150313/thai-sweet-sticky-rice-with-mango-khao-neeo-mamuang/,thai,22.0,458.0,76.0,1.0,Thai Sweet Sticky Rice With Mango (Khao Neeo Mamuang),144.3,26.0,1188IU,0.0,44.0,225.0,9,C
